run_id,run_label,method_family,model_variant,prompting,k,run_type,n,metric,successes,n_metric,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct
baseline_k0,Base | k=0,baseline,base,k=0,0.0,direct,200,va,175,200,0.875,0.8219846471534161,0.9138808484078432,87.5,82.19846471534161,91.38808484078432
baseline_k0,Base | k=0,baseline,base,k=0,0.0,direct,200,em,0,200,0.0,0.0,0.018846005918320894,0.0,0.0,1.8846005918320894
baseline_k0,Base | k=0,baseline,base,k=0,0.0,direct,200,ex,97,200,0.485,0.4166726249238525,0.5538927552536972,48.5,41.66726249238525,55.38927552536972
baseline_k3,Base | k=3,baseline,base,k=3,3.0,direct,200,va,179,200,0.895,0.8448186177864638,0.9302930375380627,89.5,84.48186177864639,93.02930375380627
baseline_k3,Base | k=3,baseline,base,k=3,3.0,direct,200,em,71,200,0.355,0.29198518653239286,0.4234801551839203,35.5,29.198518653239287,42.34801551839203
baseline_k3,Base | k=3,baseline,base,k=3,3.0,direct,200,ex,122,200,0.61,0.5409361758928832,0.6749177028050861,61.0,54.09361758928832,67.49177028050862
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,0.0,direct,200,va,173,200,0.865,0.8107074954488287,0.9055349202307972,86.5,81.07074954488287,90.55349202307971
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,0.0,direct,200,em,6,200,0.03,0.013820125830748327,0.06389511973247333,3.0,1.3820125830748327,6.389511973247333
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,0.0,direct,200,ex,91,200,0.455,0.38748099090226035,0.5242151496303886,45.5,38.748099090226034,52.42151496303886
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,3.0,direct,200,va,174,200,0.87,0.8163353692726989,0.9097185863477437,87.0,81.63353692726989,90.97185863477438
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,3.0,direct,200,em,70,200,0.35,0.28728715939415395,0.41836664238134236,35.0,28.728715939415395,41.83666423813423
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,3.0,direct,200,ex,110,200,0.55,0.48075488574571107,0.6173605136624569,55.00000000000001,48.075488574571104,61.73605136624569
react_exec,ReAct infra,agent_infra,unspecified,n/a,,agent,20,va,19,20,0.95,0.7638641064874331,0.9911187805671268,95.0,76.38641064874331,99.11187805671268
react_exec,ReAct infra,agent_infra,unspecified,n/a,,agent,20,em,7,20,0.35,0.18118954786794464,0.5671494897805354,35.0,18.118954786794465,56.714948978053535
react_exec,ReAct infra,agent_infra,unspecified,n/a,,agent,20,ex,11,20,0.55,0.3420820083075997,0.7418049791429071,55.00000000000001,34.20820083075997,74.18049791429071
react_exec,ReAct infra,agent_infra,unspecified,n/a,,agent,20,ts,11,19,0.5789473684210527,0.36275551465160105,0.7685837960796962,57.89473684210527,36.275551465160106,76.85837960796962
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,model_family,llama3_8b_instruct,k=0,0.0,direct,200,va,175,200,0.875,0.8219846471534161,0.9138808484078432,87.5,82.19846471534161,91.38808484078432
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,model_family,llama3_8b_instruct,k=0,0.0,direct,200,em,0,200,0.0,0.0,0.018846005918320894,0.0,0.0,1.8846005918320894
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,model_family,llama3_8b_instruct,k=0,0.0,direct,200,ex,97,200,0.485,0.4166726249238525,0.5538927552536972,48.5,41.66726249238525,55.38927552536972
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,model_family,llama3_8b_instruct,k=3,3.0,direct,200,va,179,200,0.895,0.8448186177864638,0.9302930375380627,89.5,84.48186177864639,93.02930375380627
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,model_family,llama3_8b_instruct,k=3,3.0,direct,200,em,71,200,0.355,0.29198518653239286,0.4234801551839203,35.5,29.198518653239287,42.34801551839203
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,model_family,llama3_8b_instruct,k=3,3.0,direct,200,ex,122,200,0.61,0.5409361758928832,0.6749177028050861,61.0,54.09361758928832,67.49177028050862
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,model_family,qwen2_5_7b_instruct,k=0,0.0,direct,200,va,171,200,0.855,0.7995121871510563,0.8971071486469359,85.5,79.95121871510563,89.71071486469359
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,model_family,qwen2_5_7b_instruct,k=0,0.0,direct,200,em,5,200,0.025,0.010724561470787711,0.05717914415161715,2.5,1.0724561470787712,5.717914415161715
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,model_family,qwen2_5_7b_instruct,k=0,0.0,direct,200,ex,99,200,0.495,0.4264572195415849,0.5637312405175983,49.5,42.64572195415849,56.373124051759824
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,model_family,qwen2_5_7b_instruct,k=3,3.0,direct,200,va,177,200,0.885,0.8333517476611362,0.9221368277817569,88.5,83.33517476611362,92.21368277817568
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,model_family,qwen2_5_7b_instruct,k=3,3.0,direct,200,em,68,200,0.34,0.2779143922159556,0.40811632967790723,34.0,27.79143922159556,40.81163296779072
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,model_family,qwen2_5_7b_instruct,k=3,3.0,direct,200,ex,117,200,0.585,0.5157378707263818,0.6510583082675037,58.5,51.573787072638176,65.10583082675036
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,model_family,qwen2_5_7b_instruct,k=5,5.0,direct,200,va,179,200,0.895,0.8448186177864638,0.9302930375380627,89.5,84.48186177864639,93.02930375380627
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,model_family,qwen2_5_7b_instruct,k=5,5.0,direct,200,em,80,200,0.4,0.3346046396837895,0.46916456149987484,40.0,33.46046396837895,46.91645614998748
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,model_family,qwen2_5_7b_instruct,k=5,5.0,direct,200,ex,130,200,0.65,0.5816333576186576,0.712712840605846,65.0,58.16333576186577,71.2712840605846
