run_id,condition_id,run_label,model_tag,method,k,seed,metric,shapiro_scope,n,mean,median,std,shapiro_w,shapiro_p,decision_alpha_0_05,reference_url
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,llama,base,0,7,em,per_run_metric_values,200,0.005,0.0,0.07071067811865482,0.044044231827635505,1.8094677019793432e-30,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,llama,base,0,7,ex,per_run_metric_values,200,0.41,0.0,0.4930675185909613,0.6245427545418991,1.0006972032486545e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,llama,base,0,7,ts,per_run_metric_values,0,,,,,,insufficient_n,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s7,llama_base_k0,Llama Base | k=0 | seed=7,llama,base,0,7,va,per_run_metric_values,200,0.765,1.0,0.4250628094291468,0.5250346049678598,5.454262608574563e-23,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s17,llama_base_k0,Llama Base | k=0 | seed=17,llama,base,0,17,em,per_run_metric_values,200,0.005,0.0,0.07071067811865482,0.044044231827635505,1.8094677019793432e-30,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s17,llama_base_k0,Llama Base | k=0 | seed=17,llama,base,0,17,ex,per_run_metric_values,200,0.41,0.0,0.4930675185909613,0.6245427545418991,1.0006972032486545e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s17,llama_base_k0,Llama Base | k=0 | seed=17,llama,base,0,17,ts,per_run_metric_values,0,,,,,,insufficient_n,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s17,llama_base_k0,Llama Base | k=0 | seed=17,llama,base,0,17,va,per_run_metric_values,200,0.765,1.0,0.4250628094291468,0.5250346049678598,5.454262608574563e-23,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s27,llama_base_k0,Llama Base | k=0 | seed=27,llama,base,0,27,em,per_run_metric_values,200,0.005,0.0,0.07071067811865482,0.044044231827635505,1.8094677019793432e-30,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s27,llama_base_k0,Llama Base | k=0 | seed=27,llama,base,0,27,ex,per_run_metric_values,200,0.41,0.0,0.4930675185909613,0.6245427545418991,1.0006972032486545e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s27,llama_base_k0,Llama Base | k=0 | seed=27,llama,base,0,27,ts,per_run_metric_values,0,,,,,,insufficient_n,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k0_s27,llama_base_k0,Llama Base | k=0 | seed=27,llama,base,0,27,va,per_run_metric_values,200,0.765,1.0,0.4250628094291468,0.5250346049678598,5.454262608574563e-23,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s7,llama_base_k3,Llama Base | k=3 | seed=7,llama,base,3,7,em,per_run_metric_values,200,0.25,0.0,0.43409931012992453,0.5383191988657037,1.0388286288598587e-22,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s7,llama_base_k3,Llama Base | k=3 | seed=7,llama,base,3,7,ex,per_run_metric_values,200,0.5,0.5,0.5012547071170855,0.6364352802264435,1.9972082649737544e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s7,llama_base_k3,Llama Base | k=3 | seed=7,llama,base,3,7,ts,per_run_metric_values,170,0.5470588235294118,1.0,0.49925109246155036,0.6331863427001823,6.196522458152014e-19,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s7,llama_base_k3,Llama Base | k=3 | seed=7,llama,base,3,7,va,per_run_metric_values,200,0.85,1.0,0.35796746153468767,0.42612875744966605,6.66942744101018e-25,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s17,llama_base_k3,Llama Base | k=3 | seed=17,llama,base,3,17,em,per_run_metric_values,200,0.335,0.0,0.4731748855991934,0.5955600005992271,1.9859007155340443e-21,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s17,llama_base_k3,Llama Base | k=3 | seed=17,llama,base,3,17,ex,per_run_metric_values,200,0.525,1.0,0.5006277466376765,0.6355253483391983,1.893216197789107e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s17,llama_base_k3,Llama Base | k=3 | seed=17,llama,base,3,17,ts,per_run_metric_values,175,0.5771428571428572,1.0,0.49543068126057643,0.6277033148434802,2.430779429575743e-19,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s17,llama_base_k3,Llama Base | k=3 | seed=17,llama,base,3,17,va,per_run_metric_values,200,0.875,1.0,0.3315488246330816,0.3872162260570443,1.3857687412640736e-25,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s27,llama_base_k3,Llama Base | k=3 | seed=27,llama,base,3,27,em,per_run_metric_values,200,0.31,0.0,0.4636538303215657,0.5816477384524732,9.426499876780825e-22,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s27,llama_base_k3,Llama Base | k=3 | seed=27,llama,base,3,27,ex,per_run_metric_values,200,0.525,1.0,0.5006277466376766,0.6355253483391983,1.893216197789107e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s27,llama_base_k3,Llama Base | k=3 | seed=27,llama,base,3,27,ts,per_run_metric_values,177,0.5536723163841808,1.0,0.4985211823845407,0.6322160455432827,2.435438458435435e-19,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
llama_base_k3_s27,llama_base_k3,Llama Base | k=3 | seed=27,llama,base,3,27,va,per_run_metric_values,200,0.885,1.0,0.31982250102330845,0.3699872353826209,7.084934788167209e-26,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s7,qwen_base_k0,Qwen Base | k=0 | seed=7,qwen,base,0,7,em,per_run_metric_values,200,0.01,0.0,0.0997484272744116,0.07365389054116311,4.149030998351103e-30,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s7,qwen_base_k0,Qwen Base | k=0 | seed=7,qwen,base,0,7,ex,per_run_metric_values,200,0.48,0.0,0.5008535428214366,0.635853070071154,1.9300085141080015e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s7,qwen_base_k0,Qwen Base | k=0 | seed=7,qwen,base,0,7,ts,per_run_metric_values,0,,,,,,insufficient_n,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s7,qwen_base_k0,Qwen Base | k=0 | seed=7,qwen,base,0,7,va,per_run_metric_values,200,0.805,1.0,0.39719493840616504,0.48398928391309914,8.104053735945953e-24,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s17,qwen_base_k0,Qwen Base | k=0 | seed=17,qwen,base,0,17,em,per_run_metric_values,200,0.01,0.0,0.0997484272744116,0.07365389054116311,4.149030998351103e-30,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s17,qwen_base_k0,Qwen Base | k=0 | seed=17,qwen,base,0,17,ex,per_run_metric_values,200,0.48,0.0,0.5008535428214366,0.635853070071154,1.9300085141080015e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s17,qwen_base_k0,Qwen Base | k=0 | seed=17,qwen,base,0,17,ts,per_run_metric_values,0,,,,,,insufficient_n,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k0_s17,qwen_base_k0,Qwen Base | k=0 | seed=17,qwen,base,0,17,va,per_run_metric_values,200,0.805,1.0,0.39719493840616504,0.48398928391309914,8.104053735945953e-24,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k3_s7,qwen_base_k3,Qwen Base | k=3 | seed=7,qwen,base,3,7,em,per_run_metric_values,200,0.34,0.0,0.47489750282661536,0.5980744203976793,2.2769115065329372e-21,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k3_s7,qwen_base_k3,Qwen Base | k=3 | seed=7,qwen,base,3,7,ex,per_run_metric_values,200,0.62,1.0,0.4866044796320619,0.6151395419335817,5.862140475847448e-21,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k3_s7,qwen_base_k3,Qwen Base | k=3 | seed=7,qwen,base,3,7,ts,per_run_metric_values,180,0.6722222222222223,1.0,0.470712707640976,0.5917603871199753,1.875550907513488e-20,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
qwen_base_k3_s7,qwen_base_k3,Qwen Base | k=3 | seed=7,qwen,base,3,7,va,per_run_metric_values,200,0.9,1.0,0.30075282427025113,0.3420589760203394,2.4606538880964212e-26,reject_normality,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html
